Address: 0x0001d2ee, Set: 0x2E, Miss, Tag: 0x0001D
Address: 0x000abee4, Set: 0xEE, Miss, Tag: 0x000AB
Address: 0x0008de2e, Set: 0xE2, Miss, Tag: 0x0008D
Address: 0x000af455, Set: 0x45, Hit, Tag: 0x000AF
Address: 0x000bf892, Set: 0x89, Hit, Tag: 0x000BF
Address: 0x0008f581, Set: 0x58, Hit, Tag: 0x0008F
Address: 0x00018358, Set: 0x35, Hit, Tag: 0x00018
Address: 0x000980a9, Set: 0x0A, Miss, Tag: 0x00098
Address: 0x000f61d2, Set: 0x1D, Miss, Tag: 0x000F6
Address: 0x0000b90c, Set: 0x90, Hit, Tag: 0x0000B
Address: 0x000f72be, Set: 0x2B, Hit, Tag: 0x000F7
Address: 0x0001529d, Set: 0x29, Hit, Tag: 0x00015
Address: 0x000a86f9, Set: 0x6F, Hit, Tag: 0x000A8
Address: 0x0000ff25, Set: 0xF2, Miss, Tag: 0x0000F
Address: 0x0000c597, Set: 0x59, Miss, Tag: 0x0000C
Address: 0x000be734, Set: 0x73, Miss, Tag: 0x000BE
Address: 0x00099eb8, Set: 0xEB, Hit, Tag: 0x00099
Address: 0x000a32e8, Set: 0x2E, Hit, Tag: 0x000A3
Address: 0x00011a7e, Set: 0xA7, Hit, Tag: 0x00011
Address: 0x00084481, Set: 0x48, Hit, Tag: 0x00084
Address: 0x000f92e0, Set: 0x2E, Hit, Tag: 0x000F9
Address: 0x0009cdd7, Set: 0xDD, Hit, Tag: 0x0009C
Address: 0x0000ca47, Set: 0xA4, Hit, Tag: 0x0000C
Address: 0x000f6b01, Set: 0xB0, Hit, Tag: 0x000F6
Address: 0x000986fa, Set: 0x6F, Hit, Tag: 0x00098
Address: 0x0000988b, Set: 0x88, Miss, Tag: 0x00009
Address: 0x000dc111, Set: 0x11, Miss, Tag: 0x000DC
Address: 0x000d8c00, Set: 0xC0, Hit, Tag: 0x000D8
Address: 0x000bca6b, Set: 0xA6, Miss, Tag: 0x000BC
Address: 0x0000bad2, Set: 0xAD, Miss, Tag: 0x0000B
Address: 0x000a002a, Set: 0x02, Hit, Tag: 0x000A0
Address: 0x00093fec, Set: 0xFE, Hit, Tag: 0x00093
Address: 0x0009827a, Set: 0x27, Hit, Tag: 0x00098
Address: 0x0001176f, Set: 0x76, Miss, Tag: 0x00011
Address: 0x000b6c89, Set: 0xC8, Hit, Tag: 0x000B6
Address: 0x0001c4df, Set: 0x4D, Miss, Tag: 0x0001C
Address: 0x0001a9f5, Set: 0x9F, Hit, Tag: 0x0001A
Address: 0x000fcbcf, Set: 0xBC, Miss, Tag: 0x000FC
Address: 0x0008d9e2, Set: 0x9E, Miss, Tag: 0x0008D
Address: 0x000a0020, Set: 0x02, Hit, Tag: 0x000A0
Address: 0x00009e18, Set: 0xE1, Miss, Tag: 0x00009
Address: 0x00091fd2, Set: 0xFD, Miss, Tag: 0x00091
Address: 0x000a751c, Set: 0x51, Hit, Tag: 0x000A7
Address: 0x000bcf10, Set: 0xF1, Hit, Tag: 0x000BC
Address: 0x0000cbb9, Set: 0xBB, Hit, Tag: 0x0000C
Address: 0x00012561, Set: 0x56, Miss, Tag: 0x00012
Address: 0x0001bd9c, Set: 0xD9, Hit, Tag: 0x0001B
Address: 0x000de4a7, Set: 0x4A, Hit, Tag: 0x000DE
Address: 0x00091fd2, Set: 0xFD, Hit, Tag: 0x00091
Address: 0x000e1895, Set: 0x89, Hit, Tag: 0x000E1
Address: 0x000ce2a4, Set: 0x2A, Hit, Tag: 0x000CE
Address: 0x000a7fde, Set: 0xFD, Hit, Tag: 0x000A7
Address: 0x000af455, Set: 0x45, Hit, Tag: 0x000AF
Address: 0x00085cdb, Set: 0xCD, Hit, Tag: 0x00085
Address: 0x0001e12c, Set: 0x12, Hit, Tag: 0x0001E
Address: 0x0001c20b, Set: 0x20, Hit, Tag: 0x0001C
Address: 0x000a6ebc, Set: 0xEB, Hit, Tag: 0x000A6
Address: 0x0000ddab, Set: 0xDA, Hit, Tag: 0x0000D
Address: 0x000d00cb, Set: 0x0C, Hit, Tag: 0x000D0
Address: 0x0001b9c4, Set: 0x9C, Hit, Tag: 0x0001B
Address: 0x0000c9fc, Set: 0x9F, Hit, Tag: 0x0000C
Address: 0x00016217, Set: 0x21, Hit, Tag: 0x00016
Address: 0x0001de7c, Set: 0xE7, Hit, Tag: 0x0001D
Address: 0x000f7516, Set: 0x51, Miss, Tag: 0x000F7
Address: 0x00018b80, Set: 0xB8, Miss, Tag: 0x00018
Address: 0x0000a6d9, Set: 0x6D, Miss, Tag: 0x0000A
Address: 0x000bcf10, Set: 0xF1, Hit, Tag: 0x000BC
Address: 0x000d978f, Set: 0x78, Hit, Tag: 0x000D9
Address: 0x000131f6, Set: 0x1F, Hit, Tag: 0x00013
Address: 0x000b6eeb, Set: 0xEE, Miss, Tag: 0x000B6
Address: 0x000c8cc6, Set: 0xCC, Hit, Tag: 0x000C8
Address: 0x000ef893, Set: 0x89, Hit, Tag: 0x000EF
Address: 0x000a84af, Set: 0x4A, Miss, Tag: 0x000A8
Address: 0x000924fe, Set: 0x4F, Miss, Tag: 0x00092
Address: 0x00016014, Set: 0x01, Hit, Tag: 0x00016
Address: 0x00095889, Set: 0x88, Miss, Tag: 0x00095
Address: 0x0001d7ea, Set: 0x7E, Miss, Tag: 0x0001D
Address: 0x0000a6d9, Set: 0x6D, Hit, Tag: 0x0000A
Address: 0x000eace1, Set: 0xCE, Hit, Tag: 0x000EA
Address: 0x0000e341, Set: 0x34, Hit, Tag: 0x0000E
Address: 0x0000a679, Set: 0x67, Miss, Tag: 0x0000A
Address: 0x000a8055, Set: 0x05, Miss, Tag: 0x000A8
Address: 0x000dfa71, Set: 0xA7, Hit, Tag: 0x000DF
Address: 0x000aeb0f, Set: 0xB0, Hit, Tag: 0x000AE
Address: 0x0001124c, Set: 0x24, Miss, Tag: 0x00011
Address: 0x0001bb71, Set: 0xB7, Hit, Tag: 0x0001B
Address: 0x000f149f, Set: 0x49, Miss, Tag: 0x000F1
Address: 0x0008cee0, Set: 0xEE, Hit, Tag: 0x0008C
Address: 0x0000ee3b, Set: 0xE3, Hit, Tag: 0x0000E
Address: 0x000b7ecb, Set: 0xEC, Miss, Tag: 0x000B7
Address: 0x0000afae, Set: 0xFA, Miss, Tag: 0x0000A
Address: 0x000cd6ba, Set: 0x6B, Hit, Tag: 0x000CD
Address: 0x000bca6b, Set: 0xA6, Hit, Tag: 0x000BC
Address: 0x00017cda, Set: 0xCD, Miss, Tag: 0x00017
Address: 0x000f0605, Set: 0x60, Hit, Tag: 0x000F0
Address: 0x00009272, Set: 0x27, Miss, Tag: 0x00009
Address: 0x00080e7c, Set: 0xE7, Miss, Tag: 0x00080
Address: 0x0000b54e, Set: 0x54, Hit, Tag: 0x0000B
Address: 0x0000988b, Set: 0x88, Hit, Tag: 0x00009
Address: 0x000083f1, Set: 0x3F, Hit, Tag: 0x00008
Address: 0x000c64c7, Set: 0x4C, Hit, Tag: 0x000C6
Address: 0x000f8dab, Set: 0xDA, Miss, Tag: 0x000F8
Address: 0x000d2593, Set: 0x59, Hit, Tag: 0x000D2
Address: 0x00015ad7, Set: 0xAD, Hit, Tag: 0x00015
Address: 0x00099853, Set: 0x85, Hit, Tag: 0x00099
Address: 0x0009c222, Set: 0x22, Hit, Tag: 0x0009C
Address: 0x0000bb02, Set: 0xB0, Miss, Tag: 0x0000B
Address: 0x0001154b, Set: 0x54, Hit, Tag: 0x00011
Address: 0x0008f076, Set: 0x07, Hit, Tag: 0x0008F
Address: 0x00011736, Set: 0x73, Miss, Tag: 0x00011
Address: 0x000bd894, Set: 0x89, Hit, Tag: 0x000BD
Address: 0x000b55b1, Set: 0x5B, Hit, Tag: 0x000B5
Address: 0x0009b3ad, Set: 0x3A, Hit, Tag: 0x0009B
Address: 0x000134c2, Set: 0x4C, Hit, Tag: 0x00013
Address: 0x00010b1a, Set: 0xB1, Miss, Tag: 0x00010
Address: 0x0001007a, Set: 0x07, Hit, Tag: 0x00010
Address: 0x00011709, Set: 0x70, Miss, Tag: 0x00011
Address: 0x0000981f, Set: 0x81, Miss, Tag: 0x00009
Address: 0x00017a4b, Set: 0xA4, Hit, Tag: 0x00017
Address: 0x00011079, Set: 0x07, Miss, Tag: 0x00011
Address: 0x00011fee, Set: 0xFE, Hit, Tag: 0x00011
Address: 0x000a3de0, Set: 0xDE, Miss, Tag: 0x000A3
Address: 0x000c1434, Set: 0x43, Hit, Tag: 0x000C1
Address: 0x000092b9, Set: 0x2B, Miss, Tag: 0x00009
Address: 0x0001ea18, Set: 0xA1, Miss, Tag: 0x0001E
Address: 0x00011eac, Set: 0xEA, Miss, Tag: 0x00011
Address: 0x000d9bea, Set: 0xBE, Hit, Tag: 0x000D9
Address: 0x000c0b78, Set: 0xB7, Miss, Tag: 0x000C0
Address: 0x0008b012, Set: 0x01, Miss, Tag: 0x0008B
Address: 0x000ce2a4, Set: 0x2A, Hit, Tag: 0x000CE
Address: 0x000c6e91, Set: 0xE9, Hit, Tag: 0x000C6
Address: 0x0001ba4f, Set: 0xA4, Hit, Tag: 0x0001B
Address: 0x000c86c6, Set: 0x6C, Hit, Tag: 0x000C8
Address: 0x000a0ac8, Set: 0xAC, Hit, Tag: 0x000A0
Address: 0x000e5f93, Set: 0xF9, Hit, Tag: 0x000E5
Address: 0x000953c7, Set: 0x3C, Miss, Tag: 0x00095
Address: 0x00093de7, Set: 0xDE, Hit, Tag: 0x00093
Address: 0x000fb797, Set: 0x79, Miss, Tag: 0x000FB
Address: 0x0001c20b, Set: 0x20, Hit, Tag: 0x0001C
Address: 0x0000ee3b, Set: 0xE3, Hit, Tag: 0x0000E
Address: 0x000ba537, Set: 0x53, Hit, Tag: 0x000BA
Address: 0x0001a1eb, Set: 0x1E, Hit, Tag: 0x0001A
Address: 0x000f5858, Set: 0x85, Hit, Tag: 0x000F5
Address: 0x0001ed05, Set: 0xD0, Hit, Tag: 0x0001E
Address: 0x000954aa, Set: 0x4A, Hit, Tag: 0x00095
Address: 0x0001d676, Set: 0x67, Hit, Tag: 0x0001D
Address: 0x0001d73b, Set: 0x73, Miss, Tag: 0x0001D
Address: 0x000ec2d5, Set: 0x2D, Hit, Tag: 0x000EC
Address: 0x000dd4c9, Set: 0x4C, Hit, Tag: 0x000DD
Address: 0x0000dc47, Set: 0xC4, Hit, Tag: 0x0000D
Address: 0x000984d9, Set: 0x4D, Hit, Tag: 0x00098
Address: 0x0009efc3, Set: 0xFC, Hit, Tag: 0x0009E
Address: 0x0000b321, Set: 0x32, Hit, Tag: 0x0000B
Address: 0x0001416c, Set: 0x16, Hit, Tag: 0x00014
Address: 0x0000a864, Set: 0x86, Hit, Tag: 0x0000A
Address: 0x00014840, Set: 0x84, Hit, Tag: 0x00014
Address: 0x000d9f96, Set: 0xF9, Hit, Tag: 0x000D9
Address: 0x000cda23, Set: 0xA2, Miss, Tag: 0x000CD
Address: 0x000a49d7, Set: 0x9D, Hit, Tag: 0x000A4
Address: 0x000badb4, Set: 0xDB, Hit, Tag: 0x000BA
Address: 0x00009d03, Set: 0xD0, Miss, Tag: 0x00009
Address: 0x000d7e8d, Set: 0xE8, Miss, Tag: 0x000D7
Address: 0x00093fec, Set: 0xFE, Hit, Tag: 0x00093
Address: 0x0001c4df, Set: 0x4D, Hit, Tag: 0x0001C
Address: 0x000f599b, Set: 0x99, Hit, Tag: 0x000F5
Address: 0x000182eb, Set: 0x2E, Hit, Tag: 0x00018
Address: 0x000cdc81, Set: 0xC8, Miss, Tag: 0x000CD
Address: 0x000105d2, Set: 0x5D, Hit, Tag: 0x00010
Address: 0x000badb4, Set: 0xDB, Hit, Tag: 0x000BA
Address: 0x00018b80, Set: 0xB8, Hit, Tag: 0x00018
Address: 0x0000ba72, Set: 0xA7, Miss, Tag: 0x0000B
Address: 0x000fb11c, Set: 0x11, Miss, Tag: 0x000FB
Address: 0x00009abf, Set: 0xAB, Miss, Tag: 0x00009
Address: 0x0001e019, Set: 0x01, Miss, Tag: 0x0001E
Address: 0x0001007a, Set: 0x07, Hit, Tag: 0x00010
Address: 0x000a2f86, Set: 0xF8, Hit, Tag: 0x000A2
Address: 0x00010eaf, Set: 0xEA, Hit, Tag: 0x00010
Address: 0x0001c4bb, Set: 0x4B, Miss, Tag: 0x0001C
Address: 0x000105d2, Set: 0x5D, Hit, Tag: 0x00010
Address: 0x00013d0c, Set: 0xD0, Miss, Tag: 0x00013
Address: 0x000f27e0, Set: 0x7E, Miss, Tag: 0x000F2
Address: 0x0000e164, Set: 0x16, Hit, Tag: 0x0000E
Address: 0x00019e5c, Set: 0xE5, Miss, Tag: 0x00019
Address: 0x000165b8, Set: 0x5B, Hit, Tag: 0x00016
Address: 0x00095ca7, Set: 0xCA, Miss, Tag: 0x00095
Address: 0x000174a9, Set: 0x4A, Hit, Tag: 0x00017
Address: 0x000088a1, Set: 0x8A, Hit, Tag: 0x00008
Address: 0x0009c893, Set: 0x89, Hit, Tag: 0x0009C
Address: 0x00017480, Set: 0x48, Hit, Tag: 0x00017
Address: 0x00093708, Set: 0x70, Hit, Tag: 0x00093
Address: 0x000f6ab4, Set: 0xAB, Miss, Tag: 0x000F6
Address: 0x0001e3ad, Set: 0x3A, Miss, Tag: 0x0001E
Address: 0x0000dfaa, Set: 0xFA, Miss, Tag: 0x0000D
Address: 0x0008ffa6, Set: 0xFA, Hit, Tag: 0x0008F
Address: 0x00015d06, Set: 0xD0, Hit, Tag: 0x00015
Address: 0x0001d2ee, Set: 0x2E, Hit, Tag: 0x0001D
Address: 0x0001e876, Set: 0x87, Hit, Tag: 0x0001E
Address: 0x000ec6bf, Set: 0x6B, Miss, Tag: 0x000EC
Address: 0x000186c7, Set: 0x6C, Hit, Tag: 0x00018
Address: 0x000b2c62, Set: 0xC6, Miss, Tag: 0x000B2
Address: 0x0001f63c, Set: 0x63, Miss, Tag: 0x0001F
Address: 0x00011eac, Set: 0xEA, Hit, Tag: 0x00011
Address: 0x00017919, Set: 0x91, Hit, Tag: 0x00017
Address: 0x00013b09, Set: 0xB0, Miss, Tag: 0x00013
Address: 0x000f14ba, Set: 0x4B, Miss, Tag: 0x000F1
Address: 0x0001d72e, Set: 0x72, Hit, Tag: 0x0001D
Address: 0x0001ac29, Set: 0xC2, Hit, Tag: 0x0001A
Address: 0x0001d73b, Set: 0x73, Hit, Tag: 0x0001D
Address: 0x0001f774, Set: 0x77, Miss, Tag: 0x0001F
Address: 0x000111ec, Set: 0x1E, Miss, Tag: 0x00011
Address: 0x0000b90f, Set: 0x90, Hit, Tag: 0x0000B
Address: 0x0000a141, Set: 0x14, Hit, Tag: 0x0000A
Address: 0x00016222, Set: 0x22, Miss, Tag: 0x00016
Address: 0x0001a2e1, Set: 0x2E, Hit, Tag: 0x0001A
Address: 0x00099eb8, Set: 0xEB, Hit, Tag: 0x00099
Address: 0x000ccca4, Set: 0xCA, Hit, Tag: 0x000CC
Address: 0x000ff05a, Set: 0x05, Hit, Tag: 0x000FF
Address: 0x000136e4, Set: 0x6E, Miss, Tag: 0x00013
Address: 0x0000e34b, Set: 0x34, Hit, Tag: 0x0000E
Address: 0x000d3602, Set: 0x60, Hit, Tag: 0x000D3
Address: 0x000f7d6e, Set: 0xD6, Hit, Tag: 0x000F7
Address: 0x0000a2f0, Set: 0x2F, Hit, Tag: 0x0000A
Address: 0x000b2c62, Set: 0xC6, Hit, Tag: 0x000B2
Address: 0x0001b1ab, Set: 0x1A, Hit, Tag: 0x0001B
Address: 0x0000af01, Set: 0xF0, Hit, Tag: 0x0000A
Address: 0x0000ecd6, Set: 0xCD, Miss, Tag: 0x0000E
Address: 0x0001b042, Set: 0x04, Hit, Tag: 0x0001B
Address: 0x000bd4ea, Set: 0x4E, Miss, Tag: 0x000BD
Address: 0x0009e0f1, Set: 0x0F, Miss, Tag: 0x0009E
Address: 0x000929fc, Set: 0x9F, Hit, Tag: 0x00092
Address: 0x0000836a, Set: 0x36, Hit, Tag: 0x00008
Address: 0x00013a95, Set: 0xA9, Miss, Tag: 0x00013
Address: 0x000993f1, Set: 0x3F, Hit, Tag: 0x00099
Address: 0x00012032, Set: 0x03, Hit, Tag: 0x00012
Address: 0x000a7417, Set: 0x41, Miss, Tag: 0x000A7
Address: 0x000b33d4, Set: 0x3D, Miss, Tag: 0x000B3
Address: 0x000ac352, Set: 0x35, Miss, Tag: 0x000AC
Address: 0x000f0179, Set: 0x17, Miss, Tag: 0x000F0
Address: 0x00011acf, Set: 0xAC, Miss, Tag: 0x00011
Address: 0x000f34c6, Set: 0x4C, Hit, Tag: 0x000F3
Address: 0x00015ee7, Set: 0xEE, Hit, Tag: 0x00015
Address: 0x0009d6bb, Set: 0x6B, Hit, Tag: 0x0009D
Address: 0x0008cee0, Set: 0xEE, Hit, Tag: 0x0008C
Address: 0x00016217, Set: 0x21, Hit, Tag: 0x00016
Address: 0x000e1895, Set: 0x89, Hit, Tag: 0x000E1
Address: 0x000f2505, Set: 0x50, Miss, Tag: 0x000F2
Address: 0x00094ece, Set: 0xEC, Miss, Tag: 0x00094
Address: 0x000aafce, Set: 0xFC, Hit, Tag: 0x000AA
Address: 0x0001eeee, Set: 0xEE, Miss, Tag: 0x0001E
Address: 0x00016222, Set: 0x22, Hit, Tag: 0x00016
Address: 0x0009bbd1, Set: 0xBD, Hit, Tag: 0x0009B
Address: 0x00010ff9, Set: 0xFF, Hit, Tag: 0x00010
Address: 0x00013a38, Set: 0xA3, Miss, Tag: 0x00013
Address: 0x000faaa9, Set: 0xAA, Miss, Tag: 0x000FA
Address: 0x000a4c7d, Set: 0xC7, Hit, Tag: 0x000A4
Address: 0x000cb8eb, Set: 0x8E, Hit, Tag: 0x000CB
Address: 0x000dee9c, Set: 0xE9, Hit, Tag: 0x000DE
Address: 0x000adf43, Set: 0xF4, Hit, Tag: 0x000AD
Address: 0x00018e6c, Set: 0xE6, Hit, Tag: 0x00018
Address: 0x000bc4fa, Set: 0x4F, Miss, Tag: 0x000BC
Address: 0x00016876, Set: 0x87, Hit, Tag: 0x00016
Address: 0x0000bd85, Set: 0xD8, Hit, Tag: 0x0000B
Address: 0x000c7cff, Set: 0xCF, Miss, Tag: 0x000C7
Address: 0x0000948b, Set: 0x48, Miss, Tag: 0x00009
Address: 0x0000ff25, Set: 0xF2, Hit, Tag: 0x0000F
Address: 0x00011d37, Set: 0xD3, Miss, Tag: 0x00011
Address: 0x000d1c8b, Set: 0xC8, Miss, Tag: 0x000D1
Address: 0x000d2593, Set: 0x59, Hit, Tag: 0x000D2
Address: 0x000b61a6, Set: 0x1A, Hit, Tag: 0x000B6
Address: 0x0008d9e2, Set: 0x9E, Hit, Tag: 0x0008D
Address: 0x000bf9d3, Set: 0x9D, Hit, Tag: 0x000BF
Address: 0x000d6f8d, Set: 0xF8, Miss, Tag: 0x000D6
Address: 0x000853b6, Set: 0x3B, Hit, Tag: 0x00085
Address: 0x0001f233, Set: 0x23, Hit, Tag: 0x0001F
Address: 0x00083f51, Set: 0xF5, Miss, Tag: 0x00083
Address: 0x0001e48e, Set: 0x48, Hit, Tag: 0x0001E
Address: 0x000853b6, Set: 0x3B, Hit, Tag: 0x00085
Address: 0x0001ab89, Set: 0xB8, Miss, Tag: 0x0001A
Address: 0x0001e3ad, Set: 0x3A, Hit, Tag: 0x0001E
Address: 0x0001ea68, Set: 0xA6, Miss, Tag: 0x0001E
Address: 0x00083f51, Set: 0xF5, Hit, Tag: 0x00083
Address: 0x0000b51a, Set: 0x51, Miss, Tag: 0x0000B
Address: 0x0001a2e1, Set: 0x2E, Hit, Tag: 0x0001A
Address: 0x000092b9, Set: 0x2B, Hit, Tag: 0x00009
Address: 0x000e4caa, Set: 0xCA, Hit, Tag: 0x000E4
Address: 0x0001e51a, Set: 0x51, Hit, Tag: 0x0001E
Address: 0x000e1133, Set: 0x13, Hit, Tag: 0x000E1
Address: 0x0000e254, Set: 0x25, Hit, Tag: 0x0000E
Address: 0x000d4cba, Set: 0xCB, Hit, Tag: 0x000D4
Address: 0x0000ddab, Set: 0xDA, Hit, Tag: 0x0000D
Address: 0x00010b1a, Set: 0xB1, Hit, Tag: 0x00010
Address: 0x000b5536, Set: 0x53, Miss, Tag: 0x000B5
Address: 0x000111ec, Set: 0x1E, Hit, Tag: 0x00011
Address: 0x0001d7ea, Set: 0x7E, Hit, Tag: 0x0001D
Address: 0x0001fd8f, Set: 0xD8, Hit, Tag: 0x0001F
Address: 0x0001d769, Set: 0x76, Miss, Tag: 0x0001D
Address: 0x000f69d1, Set: 0x9D, Miss, Tag: 0x000F6
Address: 0x0001831b, Set: 0x31, Hit, Tag: 0x00018
Address: 0x000924fe, Set: 0x4F, Hit, Tag: 0x00092
Address: 0x000e2dc6, Set: 0xDC, Hit, Tag: 0x000E2
Address: 0x000810d7, Set: 0x0D, Hit, Tag: 0x00081
Address: 0x000e4bd9, Set: 0xBD, Hit, Tag: 0x000E4
Address: 0x0000ff25, Set: 0xF2, Hit, Tag: 0x0000F
Address: 0x0000c597, Set: 0x59, Hit, Tag: 0x0000C
Address: 0x0001ea18, Set: 0xA1, Hit, Tag: 0x0001E
Address: 0x000ded3d, Set: 0xD3, Miss, Tag: 0x000DE
Address: 0x000b7dc6, Set: 0xDC, Hit, Tag: 0x000B7
Address: 0x000de4a7, Set: 0x4A, Hit, Tag: 0x000DE
Address: 0x0000c84f, Set: 0x84, Hit, Tag: 0x0000C
Address: 0x000e4caa, Set: 0xCA, Hit, Tag: 0x000E4
Address: 0x000be3ca, Set: 0x3C, Miss, Tag: 0x000BE
Address: 0x00009d32, Set: 0xD3, Hit, Tag: 0x00009
Address: 0x000110ff, Set: 0x0F, Hit, Tag: 0x00011
Address: 0x0001a69a, Set: 0x69, Hit, Tag: 0x0001A
Address: 0x0001ab89, Set: 0xB8, Hit, Tag: 0x0001A
Address: 0x000ab0b9, Set: 0x0B, Miss, Tag: 0x000AB
Address: 0x00019f56, Set: 0xF5, Hit, Tag: 0x00019
Address: 0x0001560d, Set: 0x60, Miss, Tag: 0x00015
Address: 0x00083265, Set: 0x26, Hit, Tag: 0x00083
Address: 0x000125c1, Set: 0x5C, Hit, Tag: 0x00012
Address: 0x0001ee26, Set: 0xE2, Miss, Tag: 0x0001E
Address: 0x00018793, Set: 0x79, Hit, Tag: 0x00018
Address: 0x000b4b85, Set: 0xB8, Hit, Tag: 0x000B4
Address: 0x000c7c9d, Set: 0xC9, Miss, Tag: 0x000C7
Address: 0x0009d503, Set: 0x50, Miss, Tag: 0x0009D
Address: 0x0008ffa6, Set: 0xFA, Hit, Tag: 0x0008F
Address: 0x0001d73b, Set: 0x73, Hit, Tag: 0x0001D
Address: 0x0009cdd7, Set: 0xDD, Hit, Tag: 0x0009C
Address: 0x000c424e, Set: 0x24, Miss, Tag: 0x000C4
Address: 0x00082bc3, Set: 0xBC, Miss, Tag: 0x00082
Address: 0x0000db85, Set: 0xB8, Hit, Tag: 0x0000D
Address: 0x000e1133, Set: 0x13, Hit, Tag: 0x000E1
Address: 0x000f2269, Set: 0x26, Miss, Tag: 0x000F2
Address: 0x0000c36f, Set: 0x36, Miss, Tag: 0x0000C
Address: 0x0001d0ce, Set: 0x0C, Hit, Tag: 0x0001D
Address: 0x000f27e0, Set: 0x7E, Hit, Tag: 0x000F2
Address: 0x000bc4fa, Set: 0x4F, Hit, Tag: 0x000BC
Address: 0x00097420, Set: 0x42, Miss, Tag: 0x00097
Address: 0x00011079, Set: 0x07, Hit, Tag: 0x00011
Address: 0x000131f4, Set: 0x1F, Hit, Tag: 0x00013
Address: 0x0001238a, Set: 0x38, Hit, Tag: 0x00012
Address: 0x000a7417, Set: 0x41, Hit, Tag: 0x000A7
Address: 0x000a3de0, Set: 0xDE, Hit, Tag: 0x000A3
Address: 0x0001447e, Set: 0x47, Miss, Tag: 0x00014
Address: 0x00081893, Set: 0x89, Miss, Tag: 0x00081
Address: 0x000c06fa, Set: 0x6F, Miss, Tag: 0x000C0
Address: 0x000cca65, Set: 0xA6, Hit, Tag: 0x000CC
Address: 0x000d904c, Set: 0x04, Hit, Tag: 0x000D9
Address: 0x00094ece, Set: 0xEC, Hit, Tag: 0x00094
Address: 0x000185b3, Set: 0x5B, Miss, Tag: 0x00018
Address: 0x0000cfe3, Set: 0xFE, Miss, Tag: 0x0000C
Address: 0x000ef893, Set: 0x89, Hit, Tag: 0x000EF
Address: 0x0001c39f, Set: 0x39, Hit, Tag: 0x0001C
Address: 0x00019735, Set: 0x73, Hit, Tag: 0x00019
Address: 0x00018b80, Set: 0xB8, Hit, Tag: 0x00018
Address: 0x000dfa71, Set: 0xA7, Hit, Tag: 0x000DF
Address: 0x00008a4a, Set: 0xA4, Hit, Tag: 0x00008
Address: 0x0008d663, Set: 0x66, Hit, Tag: 0x0008D
Address: 0x000d55c3, Set: 0x5C, Hit, Tag: 0x000D5
Address: 0x0000970d, Set: 0x70, Miss, Tag: 0x00009
Address: 0x00093cc0, Set: 0xCC, Miss, Tag: 0x00093
Address: 0x00009bef, Set: 0xBE, Miss, Tag: 0x00009
Address: 0x0001a6c4, Set: 0x6C, Hit, Tag: 0x0001A
Address: 0x000d0a3c, Set: 0xA3, Hit, Tag: 0x000D0
Address: 0x000ad0dc, Set: 0x0D, Miss, Tag: 0x000AD
Address: 0x000fe01a, Set: 0x01, Miss, Tag: 0x000FE
Address: 0x000fda8e, Set: 0xA8, Hit, Tag: 0x000FD
Address: 0x00016222, Set: 0x22, Hit, Tag: 0x00016
Address: 0x0000af11, Set: 0xF1, Hit, Tag: 0x0000A
Address: 0x0001e557, Set: 0x55, Hit, Tag: 0x0001E
Address: 0x0001ae56, Set: 0xE5, Hit, Tag: 0x0001A
Address: 0x0000ac6f, Set: 0xC6, Hit, Tag: 0x0000A
Address: 0x00083265, Set: 0x26, Hit, Tag: 0x00083
Address: 0x0001efbf, Set: 0xFB, Hit, Tag: 0x0001E
Address: 0x00018fce, Set: 0xFC, Hit, Tag: 0x00018
Address: 0x0000ac6f, Set: 0xC6, Hit, Tag: 0x0000A
Address: 0x0008f581, Set: 0x58, Hit, Tag: 0x0008F
Address: 0x0001cded, Set: 0xDE, Miss, Tag: 0x0001C
Address: 0x0000bd4e, Set: 0xD4, Hit, Tag: 0x0000B
Address: 0x0001c6b6, Set: 0x6B, Hit, Tag: 0x0001C
Address: 0x0001efdd, Set: 0xFD, Hit, Tag: 0x0001E
Address: 0x000e5496, Set: 0x49, Miss, Tag: 0x000E5
Address: 0x000131f4, Set: 0x1F, Hit, Tag: 0x00013
Address: 0x000d02ec, Set: 0x2E, Hit, Tag: 0x000D0
Address: 0x0001e8a0, Set: 0x8A, Hit, Tag: 0x0001E
Address: 0x000ad912, Set: 0x91, Miss, Tag: 0x000AD
Address: 0x0000bb02, Set: 0xB0, Hit, Tag: 0x0000B
Address: 0x00099c16, Set: 0xC1, Hit, Tag: 0x00099
Address: 0x000d4cba, Set: 0xCB, Hit, Tag: 0x000D4
Address: 0x000a374a, Set: 0x74, Hit, Tag: 0x000A3
Address: 0x000a49d7, Set: 0x9D, Hit, Tag: 0x000A4
Address: 0x00009f36, Set: 0xF3, Hit, Tag: 0x00009
Address: 0x000114f1, Set: 0x4F, Miss, Tag: 0x00011
Address: 0x0000ecd6, Set: 0xCD, Hit, Tag: 0x0000E
Address: 0x000f37e1, Set: 0x7E, Hit, Tag: 0x000F3
Address: 0x00015701, Set: 0x70, Miss, Tag: 0x00015
Address: 0x00011acf, Set: 0xAC, Hit, Tag: 0x00011
Address: 0x0001a46f, Set: 0x46, Miss, Tag: 0x0001A
Address: 0x000ac30f, Set: 0x30, Hit, Tag: 0x000AC
Address: 0x00009e18, Set: 0xE1, Hit, Tag: 0x00009
